"","team_id","team_name","team_minutes","team_fgm","team_fga","team_fgpct","team_three_fgm","team_three_fga","team_three_fgpct","team_ft","team_fta","team_ftpct","team_pts","team_ptsavg","team_offreb","team_defreb","team_totreb","team_rebavg","team_ast","team_to","team_stl","team_blk","team_fouls","team_dbldbl","team_trpdbl","opp_team_minutes","opp_team_fgm","opp_team_fga","opp_team_fgpct","opp_team_three_fgm","opp_team_three_fga","opp_team_three_fgpct","opp_team_ft","opp_team_fta","opp_team_ftpct","opp_team_pts","opp_team_ptsavg","opp_team_offreb","opp_team_defreb","opp_team_totreb","opp_team_rebavg","opp_team_ast","opp_team_to","opp_team_stl","opp_team_blk","opp_team_fouls","opp_team_dbldbl","opp_team_trpdbl","team_ast_to","team_home_avg_ptsdiff","team_away_avg_ptsdiff","team_avg_ptsdiff","team_home_wins","team_home_losses","team_away_wins","team_away_losses","team_wins","team_losses","winpct","C_points","F_points","G_points","Jr","C_avg_height","F_avg_height","G_avg_height","opp_home_avg_ptsdiff","opp_home_wins","opp_home_losses","opp_away_avg_ptsdiff","opp_away_wins","opp_away_losses","opp_avg_ptsdiff","opp_wins","opp_losses"
"81",742,"Virginia Tech",6450,824,1733,47.55,307,779,39.41,413,545,75.78,2368,74,285,758,1043,32.59,491,364,213,74,489,22,32,774000,690,1701,40.56,283,853,33.18,324,449,72.16,1987,62.09,286,672,958,29.94,389,451,162,93,522,22,0,1.3489010989011,19.2222222222222,3.66666666666667,11.4444444444444,16,2,8,4,24,6,0.8,0,844,1524,0,0,78.6666666666667,75.1428571428571,-19.5,16,2,NA,8,4,NA,24,6
"82",746,"Virginia",6420.98333333333,820,1715,47.81,271,663,40.87,388,520,74.62,2299,71.84,284,824,1108,34.62,464,289,180,122,469,24,32,770939,636,1675,37.97,186,685,27.15,304,467,65.1,1762,55.06,288,664,952,29.75,280,351,166,88,505,24,0,1.60553633217993,19.7894736842105,12.3846153846154,16.087044534413,17,2,12,1,29,3,0.90625,131,377,1791,0,82,80.75,75.7777777777778,-20.8055555555556,17,2,-12.3846153846154,12,1,-18.9230769230769,29,3
"83",748,"Wagner",6024.98333333333,655,1696,38.62,236,773,30.53,428,575,74.43,1974,65.8,380,715,1095,36.5,351,414,184,108,639,10,30,722880,659,1533,42.99,221,635,34.8,505,712,70.93,2044,68.13,276,733,1009,33.63,358,401,177,87,544,10,0,0.847826086956522,2.35714285714286,-6.4375,-2.04017857142857,7,7,6,10,13,17,0.433333333333333,0,519,1455,0,0,78.8,74.25,-2.35714285714286,7,7,5.33333333333333,6,10,1.29166666666667,13,17
"84",749,"Wake Forest",6249.98333333333,714,1812,39.4,197,640,30.78,494,681,72.54,2119,68.35,401,774,1175,37.9,330,417,150,77,555,27,31,749939,830,1788,46.42,246,721,34.12,438,630,69.52,2344,75.61,290,783,1073,34.61,470,346,220,137,602,27,0,0.79136690647482,-4.41176470588235,-10.7142857142857,-7.56302521008403,8,9,3,11,11,20,0.354838709677419,155,697,1267,0,84,79.8,75.25,4.41176470588235,8,9,10.8076923076923,3,11,6.86538461538461,11,20
"85",454,"Murray St.",6200,938,1890,49.63,242,695,34.82,464,628,73.89,2582,83.29,336,839,1175,37.9,561,375,235,142,506,20,31,743939,767,1869,41.04,185,655,28.24,382,532,71.8,2101,67.77,350,707,1057,34.1,348,442,179,106,547,20,0,1.496,18.9411764705882,11.3571428571429,15.1491596638655,16,1,11,3,27,4,0.870967741935484,0,841,1741,0,0,79.3333333333333,74.7142857142857,-18.9411764705882,16,1,-11.3571428571429,11,3,-16.4772727272727,27,4
"86",456,"UNC Asheville",6226,655,1627,40.26,223,687,32.46,324,437,74.14,1857,59.9,298,633,931,30.03,331,457,196,86,535,6,31,747240,810,1702,47.59,271,743,36.47,422,593,71.16,2313,74.61,348,725,1073,34.61,536,367,211,104,462,6,0,0.724288840262582,-6.5,-21.4705882352941,-13.9852941176471,3,11,1,16,4,27,0.129032258064516,0,583,1274,0,0,80,75.25,8.92307692307692,3,11,20.625,1,16,16.6376811594203,4,27
"87",457,"North Carolina",6625,1023,2207,46.35,289,791,36.54,505,681,74.16,2840,86.06,431,1006,1437,43.55,627,431,237,117,566,10,33,795000,854,2067,41.32,289,878,32.92,408,597,68.34,2407,72.94,304,814,1118,33.88,467,466,221,158,589,10,0,1.45475638051044,11.7142857142857,15.5833333333333,13.6488095238095,16,5,11,1,27,6,0.818181818181818,0,1163,1677,0,0,80.5714285714286,76.4444444444444,-12.9473684210526,16,5,-15.5833333333333,11,1,-14.7098765432099,27,6
"88",28,"Arizona St.",6499.98333333333,851,1903,44.72,232,680,34.12,556,829,67.07,2490,77.81,389,890,1279,39.97,435,435,199,103,637,9,32,779939,775,1878,41.27,274,816,33.58,514,725,70.9,2338,73.06,320,807,1127,35.22,425,445,203,111,693,9,0,1,8.6875,-0.833333333333333,3.92708333333333,12,4,7,5,19,9,0.678571428571429,0,1255,1235,0,0,80.1428571428571,74.1111111111111,NA,12,4,0.833333333333333,7,5,NA,19,9
"89",29,"Arizona",6433.58333333333,794,1861,42.67,235,699,33.62,446,620,71.94,2269,70.91,324,791,1115,34.84,398,371,165,73,594,29,32,773766,787,1756,44.82,213,648,32.87,418,615,67.97,2205,68.91,277,818,1095,34.22,376,451,173,123,621,29,0,1.07277628032345,8.33333333333333,-6.07692307692308,1.12820512820513,12,6,5,8,17,14,0.548387096774194,327,483,1459,0,82,78.75,75.5,-8.33333333333333,12,6,NA,5,8,NA,17,14
"90",23,"American",6100,780,1644,47.45,190,583,32.59,411,589,69.78,2161,72.03,252,762,1014,33.8,402,386,221,131,520,5,30,731699,747,1709,43.71,152,520,29.23,424,595,71.26,2070,69,287,711,998,33.27,375,366,191,98,526,5,0,1.04145077720207,5,1.06666666666667,3.03333333333333,8,7,7,8,15,15,0.5,296,606,1259,0,82,78.5,74.7142857142857,-5.21428571428571,8,7,-1.06666666666667,7,8,-3.65,15,15
"91",27,"Appalachian St.",6450,880,1938,45.41,292,814,35.87,505,706,71.53,2557,79.91,311,814,1125,35.16,406,419,171,89,586,5,32,774000,916,1960,46.73,242,659,36.72,465,659,70.56,2539,79.34,334,854,1188,37.12,418,427,225,100,636,5,0,0.968973747016706,8.4,-6.4375,0.98125,9,6,2,14,11,20,0.354838709677419,14,934,1609,0,85,80.6,74.1111111111111,-8.4,9,6,6.36666666666667,2,14,-1.49275362318841,11,20
"92",136,"Chicago St.",6399.98333333333,718,1751,41.01,141,471,29.94,393,581,67.64,1970,61.56,252,743,995,31.09,376,513,193,72,625,15,32,767939,964,1989,48.47,331,869,38.09,451,650,69.38,2710,84.69,375,870,1245,38.91,546,392,242,101,589,15,0,0.732943469785575,-8.27272727272727,-30.9,-19.5863636363636,3,8,0,20,3,28,0.0967741935483871,131,574,1265,0,81.5,79,74.25,NA,3,8,30.3947368421053,0,20,NA,3,28
"93",562,"Quinnipiac",6149.98333333333,709,1669,42.48,338,898,37.64,457,631,72.42,2213,73.77,306,771,1077,35.9,384,411,156,60,502,21,30,737939,810,1834,44.17,229,672,34.08,314,486,64.61,2163,72.1,321,722,1043,34.77,368,330,181,92,573,21,0,0.934306569343066,2.0625,1.21428571428571,1.63839285714286,7,9,9,5,16,14,0.533333333333333,0,602,1611,0,0,79,66,-2.2,7,9,-1.21428571428571,9,5,-1.15,16,14
"94",563,"Radford",6649.98333333333,893,1938,46.08,285,751,37.95,369,515,71.65,2440,73.94,335,834,1169,35.42,467,358,196,101,528,4,33,797939,788,1814,43.44,275,811,33.91,396,544,72.79,2247,68.09,264,786,1050,31.82,395,406,149,104,531,4,0,1.30446927374302,10.1875,1.76470588235294,5.97610294117647,13,3,9,8,22,11,0.666666666666667,0,889,1551,0,0,78.4,73.6666666666667,-11.2692307692308,13,3,-1.76470588235294,9,8,-5.95138888888889,22,11
"95",6,"Alabama A&M",6468,736,1807,40.73,182,576,31.6,284,453,62.69,1938,60.56,321,704,1025,32.03,384,487,234,49,587,4,32,776699,811,1730,46.88,235,665,35.34,428,672,63.69,2285,71.41,333,825,1158,36.19,434,458,246,109,463,4,0,0.788501026694045,-3.81818181818182,-15,-9.40909090909091,4,7,1,19,5,26,0.161290322580645,0,871,862,0,0,79.6,73.75,3.81818181818182,4,7,15,1,19,13.195652173913,5,26
"96",599,"St. Francis Brooklyn",6423.53333333333,814,1926,42.26,259,777,33.33,386,570,67.72,2273,71.03,342,821,1163,36.34,369,403,189,129,614,21,32,770939,778,1813,42.91,181,571,31.7,502,688,72.97,2239,69.97,316,879,1195,37.34,343,441,166,122,576,21,0,0.915632754342432,9.42857142857143,-5.44444444444444,1.99206349206349,11,3,6,12,17,15,0.53125,171,517,1585,0,81,77.75,74,-9.42857142857143,11,3,5.5,6,12,-1.52272727272727,17,15
"97",590,"Sacred Heart",6425,885,1926,45.95,243,681,35.68,545,722,75.48,2558,79.94,360,871,1231,38.47,471,465,170,133,572,21,32,770781,886,2002,44.26,284,765,37.12,453,624,72.6,2509,78.41,319,771,1090,34.06,453,390,224,124,619,21,0,1.01290322580645,10.2142857142857,-5.47058823529412,2.3718487394958,10,4,5,12,15,16,0.483870967741935,0,796,1762,0,0,80.25,73.8571428571429,-12.6666666666667,10,4,NA,5,12,NA,15,16
"98",596,"St. Bonaventure",6925,821,1914,42.89,208,635,32.76,400,539,74.21,2250,66.18,336,847,1183,34.79,417,420,199,164,553,20,34,830939,750,1864,40.24,259,802,32.29,386,587,65.76,2145,63.09,341,815,1156,34,386,446,196,97,541,20,0,0.992857142857143,8.21052631578947,-3.4,2.40526315789474,12,7,6,9,18,16,0.529411764705882,256,848,1143,0,82,78.8,74.6666666666667,-7.97058823529412,12,7,3.4,6,9,-1.87820512820513,18,16
"99",2915,"Wofford",6649.98333333333,997,2022,49.31,364,874,41.65,381,545,69.91,2739,83,350,820,1170,35.45,507,363,227,99,558,19,33,798000,772,1810,42.65,236,733,32.2,385,550,70,2165,65.61,253,703,956,28.97,376,462,180,84,512,19,0,1.39669421487603,22.4210526315789,8.46153846153846,15.4412955465587,18,1,10,3,28,4,0.875,142,878,1719,0,83,80,74.5,-21.1,18,1,NA,10,3,NA,28,4
"100",474,"New Orleans",6500,829,1859,44.59,182,533,34.15,455,662,68.73,2295,71.72,381,741,1122,35.06,475,499,277,130,605,2,32,779939,784,1800,43.56,196,612,32.03,466,657,70.93,2230,69.69,374,763,1137,35.53,424,557,252,135,586,2,0,0.95190380761523,13.0625,-9,2.03125,13,3,6,10,19,13,0.59375,14,819,1462,0,87,79.5,73.7777777777778,-10.1666666666667,13,3,8.7,6,10,1.29365079365079,19,13
"101",472,"New Mexico St.",6825,937,2041,45.91,319,952,33.51,464,687,67.54,2657,78.15,436,868,1304,38.35,500,403,191,89,613,27,34,818906,763,1825,41.81,240,724,33.15,415,590,70.34,2181,64.15,233,746,979,28.79,294,454,165,64,691,27,0,1.24069478908189,17.2380952380952,9.25,13.2440476190476,19,2,10,2,29,4,0.878787878787879,0,1089,1568,0,0,79.4285714285714,73.875,-16.4722222222222,19,2,NA,10,2,NA,29,4
"102",473,"New Mexico",6399.98333333333,814,1929,42.2,292,845,34.56,523,745,70.2,2443,76.34,362,841,1203,37.59,446,456,220,107,629,20,32,767781,869,1925,45.14,230,648,35.49,486,708,68.64,2454,76.69,323,870,1193,37.28,489,438,223,105,653,20,0,0.978070175438597,6.05882352941176,-6.30769230769231,-0.124434389140271,10,7,4,9,14,16,0.466666666666667,0,715,1728,0,0,81,76.375,-5.1875,10,7,NA,4,9,NA,14,16
"103",768,"West Virginia",6899.98333333333,841,2036,41.31,253,798,31.7,552,808,68.32,2487,73.15,489,850,1339,39.38,454,535,210,119,686,3,34,827939,899,1974,45.54,254,707,35.93,562,782,71.87,2614,76.88,341,842,1183,34.79,456,459,287,128,729,3,0,0.848598130841121,2.95,-13.2857142857143,-5.16785714285714,12,8,2,12,14,20,0.411764705882353,0,1500,987,0,0,80.625,74,-2.95,12,8,13.4545454545455,2,12,1.08333333333333,14,20
"104",471,"NJIT",6650.98333333333,792,1778,44.54,229,664,34.49,497,692,71.82,2310,70,236,875,1111,33.67,354,409,211,90,551,9,33,798120,810,1913,42.34,239,725,32.97,379,566,66.96,2238,67.82,309,853,1162,35.21,418,423,188,114,617,9,0,0.865525672371638,5.30769230769231,-0.105263157894737,2.60121457489879,9,4,11,8,20,12,0.625,0,776,1534,0,0,80.8333333333333,73.125,-5.30769230769231,9,4,-0.588235294117647,11,8,-3.71739130434783,20,12
